	annot	category	color	lenOG	phrog
104	Gpu-like tail protein	tail	#07e9a2	5	1
105	GtrA-like O-antigen conversion	moron, auxiliary metabolic gene and host takeover	#ff59f5	68	1
106	GtrB glycosyltransferase for O-antigen conversion	moron, auxiliary metabolic gene and host takeover	#ff59f5	2	1
107	GtrB-like O-antigen conversion	moron, auxiliary metabolic gene and host takeover	#ff59f5	175	2
108	GtrC-like O-antigen conversion translocase	moron, auxiliary metabolic gene and host takeover	#ff59f5	40	3
109	HAD-superfamily hydrolase	other	#838383	13	1
110	HNH endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	9830	125
111	HTH DNA binding domain protein	DNA, RNA and nucleotide metabolism	#ffdf59	29	1
112	HTH DNA binding protein	DNA, RNA and nucleotide metabolism	#ffdf59	1919	56
113	Hdf-like antirestriction	moron, auxiliary metabolic gene and host takeover	#ff59f5	92	1
114	HicB-like antitoxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	26	2
115	Hoc-like head decoration	head and packaging	#3e83f6	278	8
116	Holliday junction branch migration helicase	DNA, RNA and nucleotide metabolism	#ffdf59	17	1
117	Holliday junction resolvase	DNA, RNA and nucleotide metabolism	#ffdf59	1135	13
118	Hsp20 heat shock protein	other	#838383	299	1
119	Hsp70 heat shock protein	other	#838383	6	1
120	Ig domain containing protein	other	#838383	247	5
121	Kil protein for bacterial septation inhibition	other	#838383	775	9
122	Ku-like DNA end binding	DNA, RNA and nucleotide metabolism	#ffdf59	27	1
123	L-alanyl-D-glutamate peptidase	other	#838383	65	1
124	L-glutamine-D-fructose-6-phosphate aminotransferase	other	#838383	38	2
125	L-shaped tail fiber protein assembly	tail	#07e9a2	49	2
126	Lar-like restriction alleviation protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	332	6
127	Lom outer membrane protein	other	#838383	847	1
128	Lpa-like transcriptional activator	transcription regulation	#a861e3	88	1
129	Lsr2-like DNA bridging protein	DNA, RNA and nucleotide metabolism	#ffdf59	48	3
130	MIT family metal ion transporter	moron, auxiliary metabolic gene and host takeover	#ff59f5	20	1
131	MarR family transcrition regulator	transcription regulation	#a861e3	89	1
132	MazF-like growth inhibitor	moron, auxiliary metabolic gene and host takeover	#ff59f5	99	4
133	MazG-like pyrophosphatase	other	#838383	983	11
134	MerR-like transcriptional regulator	transcription regulation	#a861e3	60	1
135	MokW-like host killing	moron, auxiliary metabolic gene and host takeover	#ff59f5	476	1
136	Mom-like DNA modification protein	other	#838383	107	1
137	MotA-like activator of middle period transcription	transcription regulation	#a861e3	111	1
138	MotB-like transcriptional regulator	transcription regulation	#a861e3	107	2
139	MoxR-like ATPase	other	#838383	1	1
140	Mrh transcription modulator under heat shock	transcription regulation	#a861e3	122	1
141	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism	#ffdf59	842	5
142	MutT/NUDIX hydrolase	other	#838383	126	1
143	N4-like RNA polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	70	1
144	NAD synthetase	other	#838383	304	3
145	NAD-dependent DNA ligase	DNA, RNA and nucleotide metabolism	#ffdf59	121	3
146	NAD-independent protein deacetylase	other	#838383	1	1
147	Na/K ATPase	other	#838383	198	1
148	Ndd-like nucleoid disruption protein	DNA, RNA and nucleotide metabolism	#ffdf59	136	1
149	NifU-like Fe-S cluster assembly protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	13	1
150	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism	#ffdf59	1505	3
151	NinG/ Rap DNA junction specific endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	621	2
152	NinI-like serine-threonine phosphatase	other	#838383	479	1
153	Nol-like carbamoyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	97	2
154	NrdA-like aerobic NDP reductase large subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	37	1
155	NrdC-like thioredoxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	11	1
156	NrdD-like anaerobic ribonucleotide reductase large subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	277	1
157	Nun-like transcription termination factor	transcription regulation	#a861e3	23	1
158	O-acetyltransferase	other	#838383	43	1
159	O-antigen acetylase	moron, auxiliary metabolic gene and host takeover	#ff59f5	18	1
160	P-like helicase loader	DNA, RNA and nucleotide metabolism	#ffdf59	843	1
161	PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover	#ff59f5	441	1
162	PAGK virulence factor	moron, auxiliary metabolic gene and host takeover	#ff59f5	34	1
163	Panton-Valentine leukocicin	DNA, RNA and nucleotide metabolism	#ffdf59	683	2
164	ParA-like partition protein	DNA, RNA and nucleotide metabolism	#ffdf59	603	1
165	ParB C-terminal domain	DNA, RNA and nucleotide metabolism	#ffdf59	56	1
166	ParB-like partition nuclease	DNA, RNA and nucleotide metabolism	#ffdf59	30	7
167	ParB-like partition protein	DNA, RNA and nucleotide metabolism	#ffdf59	1071	17
168	PblB-type receptor binding	other	#838383	125	1
169	PetE plastocyanine	other	#838383	264	1
170	Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	334	1
171	PhoH-like phosphate starvation-inducible	other	#838383	648	3
172	PmgB-like head morphogenesis	head and packaging	#3e83f6	82	1
173	PmgC-like head morphogenesis	head and packaging	#3e83f6	82	1
174	PmgG-like head morphogenesis	head and packaging	#3e83f6	134	1
175	PmgS-like head morphogenesis	head and packaging	#3e83f6	90	1
176	PnuC-like nicotinamide mononucleotide transport	moron, auxiliary metabolic gene and host takeover	#ff59f5	80	1
177	PufA cytochrome subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	1
178	PufB cytochrome subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	1
179	PufC cytochrome	moron, auxiliary metabolic gene and host takeover	#ff59f5	13	1
180	QueC-like queuosine biosynthesis	moron, auxiliary metabolic gene and host takeover	#ff59f5	182	2
181	QueD-like  6-pyruvoyl-tetrahydropterin synthase	moron, auxiliary metabolic gene and host takeover	#ff59f5	62	1
182	QueE-like  radical SAM domain	moron, auxiliary metabolic gene and host takeover	#ff59f5	73	1
183	RF-1 domain peptide chain release factor	other	#838383	50	2
184	RHH domain	other	#838383	1	1
185	RIIA lysis inhibitor	lysis	#f35f49	322	6
186	RIIB lysis inhibitor	lysis	#f35f49	327	5
187	RNA 2'-phosphotransferase	DNA, RNA and nucleotide metabolism	#ffdf59	24	1
188	RNA ligase	DNA, RNA and nucleotide metabolism	#ffdf59	693	12
189	RNA ligase and tail fiber protein attachment catalyst	tail	#07e9a2	246	1
190	RNA polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	431	11
191	RNA polymerase ADP-ribosylase	DNA, RNA and nucleotide metabolism	#ffdf59	174	1
192	RNA polymerase beta subunit	DNA, RNA and nucleotide metabolism	#ffdf59	527	12
193	RNA polymerase binding	DNA, RNA and nucleotide metabolism	#ffdf59	116	1
194	RNA polymerase inhibitor	DNA, RNA and nucleotide metabolism	#ffdf59	114	1
195	RNA polymerase sigma factor	transcription regulation	#a861e3	746	13
196	RNA replicase beta subunit	DNA, RNA and nucleotide metabolism	#ffdf59	32	1
197	RNA-binding protein	DNA, RNA and nucleotide metabolism	#ffdf59	324	3
198	RNA-dependent RNA polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	32	1
199	RNAse	DNA, RNA and nucleotide metabolism	#ffdf59	1	1
200	RecA filament binding protein DinI	DNA, RNA and nucleotide metabolism	#ffdf59	564	1
201	RecA or Sak4, length ?	other	#838383	14	1
202	RecE-like recombination exonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	314	2
203	RecJ-like ssDNA exonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	59	1
204	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	1111	8
205	RecX-like filament modulator	DNA, RNA and nucleotide metabolism	#ffdf59	11	1
206	Ref-like RecA filament endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	65	1
207	RelE-like toxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	140	2
208	Ren-like exclusion protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	682	2
209	Reverse transcriptase	DNA, RNA and nucleotide metabolism	#ffdf59	104	1
210	RexA-like exclusion protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	8	1
211	RexB-like exclusion protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	6	1
212	Rha-like transcriptional regulator	transcription regulation	#a861e3	262	1
213	RinB-like transcriptional activator	transcription regulation	#a861e3	638	2
214	Rnase E	DNA, RNA and nucleotide metabolism	#ffdf59	217	1
215	Rnase H	DNA, RNA and nucleotide metabolism	#ffdf59	340	6
216	RpbA RNA polymerase binding protein	DNA, RNA and nucleotide metabolism	#ffdf59	16	1
217	RstB sensor of two protein system	moron, auxiliary metabolic gene and host takeover	#ff59f5	158	1
218	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	#ffdf59	3017	14
219	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	#ffdf59	653	2
220	Rz-like spanin	lysis	#f35f49	6543	56
221	S-adenosylmethionine decarboxylase	other	#838383	52	3
222	SAM-dependent methyltransferase	other	#838383	120	4
223	Sak-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	227	2
224	Sak4-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	795	2
225	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	1071	1
226	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	893	1
227	Shiga toxin subunit A	moron, auxiliary metabolic gene and host takeover	#ff59f5	169	2
228	Shiga toxin subunit B	moron, auxiliary metabolic gene and host takeover	#ff59f5	170	1
229	SieB superinfection exclusion	moron, auxiliary metabolic gene and host takeover	#ff59f5	21	2
230	Sir2 (NAD-dependent deacetylase)	DNA, RNA and nucleotide metabolism	#ffdf59	75	2
231	Srd anti-sigma factor	moron, auxiliary metabolic gene and host takeover	#ff59f5	106	1
232	T3SS effector protein EspN	moron, auxiliary metabolic gene and host takeover	#ff59f5	18	1
233	T3SS secreted effector Ibe	moron, auxiliary metabolic gene and host takeover	#ff59f5	18	1
234	Tail assembly chaperone	tail	#07e9a2	390	1
235	TciB-like inhibition of cell division or resistance to colicin	moron, auxiliary metabolic gene and host takeover	#ff59f5	102	1
236	TreN-like membrane protein	other	#838383	43	1
237	UDP-glucose dehydrogenase	other	#838383	12	1
238	Ulx-like anti-restriction	moron, auxiliary metabolic gene and host takeover	#ff59f5	92	1
239	UmuD-like protein	DNA, RNA and nucleotide metabolism	#ffdf59	229	3
240	UvsX-like recombinase	other	#838383	931	1
241	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	#ffdf59	493	1
242	WhiB transcriptional factor	transcription regulation	#a861e3	284	1
243	Zot-like toxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	537	1
244	abc2 anti-RecBCD	moron, auxiliary metabolic gene and host takeover	#ff59f5	215	1
245	abortive infection resistance protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	70	1
246	acetyl-CoA acetyltransferase	other	#838383	52	1
247	acetyltransferase	other	#838383	521	15
248	activator of host PrrC lysyl-tRNA endonuclease	moron, auxiliary metabolic gene and host takeover	#ff59f5	17	1
249	acyl carrier protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	54	2
250	acyl-CoA N-acyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	31	1
251	adaptor Ad4	connector	#35d7ff	45	1
252	adhesin	tail	#07e9a2	5	1
253	aerobic NDP reductase small subunit	DNA, RNA and nucleotide metabolism	#ffdf59	13	1
254	aerobic cobaltochelatase CobT subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	5	1
255	alkylated DNA repair	DNA, RNA and nucleotide metabolism	#ffdf59	4	1
256	alpha-2;3-sialyltransferase	other	#838383	29	1
257	alpha-glucosyltransferase	other	#838383	50	1
258	amidase	lysis	#f35f49	455	10
259	amidoligase enzyme	other	#838383	91	3
260	aminoacid permease	other	#838383	14	1
261	aminotransferase	other	#838383	103	3
262	anaerobic ribonucleoside reductase large subunit	DNA, RNA and nucleotide metabolism	#ffdf59	41	4
263	anaerobic ribonucleoside reductase small subunit	DNA, RNA and nucleotide metabolism	#ffdf59	4	1
264	anaerobic ribonucleotide reductase small subunit	DNA, RNA and nucleotide metabolism	#ffdf59	224	1
265	anti-repressor	transcription regulation	#a861e3	1276	28
266	anti-repressor Ant	transcription regulation	#a861e3	3307	11
267	anti-restriction nuclease	DNA, RNA and nucleotide metabolism	#ffdf59	31	1
268	anti-restriction protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	115	6
269	anti-sigma factor	moron, auxiliary metabolic gene and host takeover	#ff59f5	268	2
270	anti-termination protein N-like	transcription regulation	#a861e3	446	1
271	anti-termination protein Q-like	transcription regulation	#a861e3	2564	8
272	antimicrobial peptide resistance and lipid A acylation protein PagP	moron, auxiliary metabolic gene and host takeover	#ff59f5	40	1
273	antitoxin from a toxin-antitoxin system	moron, auxiliary metabolic gene and host takeover	#ff59f5	190	7
274	antitoxin mazE-like	moron, auxiliary metabolic gene and host takeover	#ff59f5	105	1
275	antitoxin with HTH domain	moron, auxiliary metabolic gene and host takeover	#ff59f5	2	1
276	appendage	connector	#35d7ff	2	1
277	arabinose 5-phosphate isomerase	moron, auxiliary metabolic gene and host takeover	#ff59f5	23	1
278	assembly (protein IV of M13)	head and packaging	#3e83f6	147	1
279	attachment protein	head and packaging	#3e83f6	13	1
280	base plate tail tube protein	tail	#07e9a2	36	1
281	baseplate assembly protein	tail	#07e9a2	75	3
282	baseplate hub	tail	#07e9a2	4030	12
283	baseplate hub and tail lysozyme	tail	#07e9a2	236	3
284	baseplate hub assembly catalyst	tail	#07e9a2	224	2
285	baseplate hub distal subunit	tail	#07e9a2	131	1
286	baseplate hub subunit and tail length	tail	#07e9a2	116	1
287	baseplate hub subunit and tail lysozyme	tail	#07e9a2	511	6
288	baseplate protein	tail	#07e9a2	907	30
289	baseplate spike	tail	#07e9a2	2533	1
290	baseplate tail tube cap	tail	#07e9a2	496	1
291	baseplate wedge initiator	tail	#07e9a2	14	1
292	baseplate wedge subunit	tail	#07e9a2	9696	32
293	baseplate wedge tail fiber protein connector	tail	#07e9a2	360	2
294	beta-1,4-glycosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	8	1
295	beta-glucosyl-HMC-alpha-glucosyltransferase	other	#838383	171	1
296	beta-glucosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	14	1
297	beta-lactamase-inhibitor protein BLIP	moron, auxiliary metabolic gene and host takeover	#ff59f5	20	1
298	beta-propeller repeat protein	other	#838383	13	1
299	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	other	#838383	15	1
300	cAMP phosphodiesterase	other	#838383	187	2
301	cAMP-dependent Kef-type K+ transporter	other	#838383	12	2
302	capsid assembly protein	tail	#07e9a2	12	1
303	carboxypeptidase	other	#838383	61	2
304	cation efflux protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	16	1
305	cef modifier of supressor tRNAs	moron, auxiliary metabolic gene and host takeover	#ff59f5	110	1
306	cell division inhibitor	moron, auxiliary metabolic gene and host takeover	#ff59f5	178	2
307	central tail fiber J	tail	#07e9a2	1620	1
308	chaperonin groEL	other	#838383	22	1
309	chemotaxis inhibition protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	17	1
310	chitinase	moron, auxiliary metabolic gene and host takeover	#ff59f5	6	1
311	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	1139	8
312	co-chaperonin GroES	other	#838383	52	2
313	coat protein	head and packaging	#3e83f6	3	3
314	cobalamin biosynthesis protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	24	1
315	colanic acid degradation	moron, auxiliary metabolic gene and host takeover	#ff59f5	20	1
316	cold shock protein	other	#838383	195	1
317	collagen like minor tail	tail	#07e9a2	86	2
318	collar tail protein for L-shaped tail fibre attachment	tail	#07e9a2	2	1
319	complement inhibitor	other	#838383	27	1
320	core encoded pilin	moron, auxiliary metabolic gene and host takeover	#ff59f5	134	1
321	cro-like repressor	transcription regulation	#a861e3	8	2
322	cyanobacterial phosphoribosylglycinamide formyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	1
323	cysteine dioxygenase	other	#838383	43	2
324	cysteine hydrolase	other	#838383	1	1
325	cysteine protease	lysis	#f35f49	13	1
326	cytidyltransferase	other	#838383	563	4
327	cytolethal distending toxin A subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	1
328	cytolethal distending toxin B subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	21	1
329	cytolethal distending toxin C subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	18	1
330	dATP / dGTP pyrophosphohydrolase	DNA, RNA and nucleotide metabolism	#ffdf59	180	1
331	dATP triphosphohydrolase	DNA, RNA and nucleotide metabolism	#ffdf59	17	1
332	dCMP deaminase	DNA, RNA and nucleotide metabolism	#ffdf59	657	3
333	dCMP hydroxymethylase	DNA, RNA and nucleotide metabolism	#ffdf59	50	1
334	dCTP deaminase	DNA, RNA and nucleotide metabolism	#ffdf59	90	1
335	dGTPase inhibitor	other	#838383	18	1
336	dGTPase inhibitor; target for F exclusion	other	#838383	49	1
337	dTDP-4-dehydrorhamnose 3,5-epimerase	moron, auxiliary metabolic gene and host takeover	#ff59f5	13	1
338	dUTPase	DNA, RNA and nucleotide metabolism	#ffdf59	705	3
339	decoy of host sigma32	moron, auxiliary metabolic gene and host takeover	#ff59f5	60	1
340	decoy of host sigma70	moron, auxiliary metabolic gene and host takeover	#ff59f5	29	1
341	dehydrogenase	other	#838383	167	7
342	deoxycytidinylate deaminase	DNA, RNA and nucleotide metabolism	#ffdf59	9	2
343	deoxynucleoside monophosphate kinase	other	#838383	690	2
344	deoxyribonucleoside 5' monophosphate phosphatase	other	#838383	419	3
345	dihydrofolate reductase	DNA, RNA and nucleotide metabolism	#ffdf59	404	3
346	dimethyl sulfoxide reductase DmsA	moron, auxiliary metabolic gene and host takeover	#ff59f5	15	1
347	distal tail protein	tail	#07e9a2	114	1
348	distal tail protein Dit	tail	#07e9a2	2123	2
349	dsDNA binding protein	DNA, RNA and nucleotide metabolism	#ffdf59	19	1
350	dual specificity phosphatase	other	#838383	12	2
351	end-filament protein	other	#838383	17	1
352	endolysin	head and packaging	#3e83f6	338	3
353	endolysin	lysis	#f35f49	12809	116
354	endolysin; inhibits RNA polymerase	lysis	#f35f49	97	3
355	endolysin; lysM motif	lysis	#f35f49	80	1
356	endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	2285	47
357	endonuclease V N-glycosylase UV repair enzyme	DNA, RNA and nucleotide metabolism	#ffdf59	128	1
358	endonuclease VII	DNA, RNA and nucleotide metabolism	#ffdf59	1036	11
359	endonuclease nicking abasic sites generated by host uracil glycosylase Ung	moron, auxiliary metabolic gene and host takeover	#ff59f5	33	1
360	endoribonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	113	1
361	enoyl-CoA hydratase/carnithine racemase-like	moron, auxiliary metabolic gene and host takeover	#ff59f5	133	1
362	enterotoxin CtxA	moron, auxiliary metabolic gene and host takeover	#ff59f5	81	1
363	enterotoxin CtxB	moron, auxiliary metabolic gene and host takeover	#ff59f5	74	1
364	enterotoxin type A / speL	moron, auxiliary metabolic gene and host takeover	#ff59f5	86	1
